Code Set,Code Value,Code Name,Code Definition,HTTP Status Category,Description
OBExternalStatusReason1Code,BE13,InvalidDebtorCountryOfResidence,Country code of debtor's residence is missing or Invalid,,
OBExternalStatusReason1Code,BE14,InvalidCreditorCountryOfResidence,Country code of creditor's residence is missing or Invalid,,
OBExternalStatusReason1Code,BE15,InvalidIdentificationCode,"Identification code missing or invalid.
Generic usage if cannot specifically identify debtor or creditor.",,
OBExternalStatusReason1Code,BE16,InvalidDebtorIdentificationCode,Debtor or Ultimate Debtor identification code missing or invalid,,
OBExternalStatusReason1Code,BE17,InvalidCreditorIdentificationCode,Creditor or Ultimate Creditor identification code missing or invalid,,
OBExternalStatusReason1Code,BE18,InvalidContactDetails,Contact details missing or invalid,,
OBExternalStatusReason1Code,BE19,InvalidChargeBearerCode,Charge bearer code for transaction type is invalid,,
OBExternalStatusReason1Code,BE20,InvalidNameLength,Name length exceeds local rules for payment type.,,
OBExternalStatusReason1Code,BE21,MissingName,Name missing or invalid.  Generic usage if cannot specifically identify debtor or creditor.,,
OBExternalStatusReason1Code,BE22,MissingCreditorName,Creditor name is missing,,
OBExternalStatusReason1Code,BE23,AccountProxyInvalid,"Phone number or email address, or any other proxy, used as the account proxy is unknown or invalid.",,
OBExternalStatusReason1Code,CERI,CheckERI,Credit transfer is not tagged as an Extended Remittance Information (ERI) transaction but contains ERI.,,
OBExternalStatusReason1Code,CH03,RequestedExecutionDateOrRequestedCollectionDateTooFarInFuture,Value in Requested Execution Date or Requested Collection Date is too far in the future,,
OBExternalStatusReason1Code,CH04,RequestedExecutionDateOrRequestedCollectionDateTooFarInPast,Value in Requested Execution Date or Requested Collection Date is too far in the past,,
OBExternalStatusReason1Code,CH07,ElementIsNotToBeUsedAtB-andC-Level,Element is not to be used at B- and C-Level,,
OBExternalStatusReason1Code,CH09,MandateChangesNotAllowed,Mandate changes are not allowed,,
OBExternalStatusReason1Code,CH10,InformationOnMandateChangesMissing,Information on mandate changes are missing,,
OBExternalStatusReason1Code,CH11,CreditorIdentifierIncorrect,Value in Creditor Identifier is incorrect,,
OBExternalStatusReason1Code,CH12,CreditorIdentifierNotUnambiguouslyAtTransaction-Level,Creditor Identifier is ambiguous at Transaction Level,,
OBExternalStatusReason1Code,CH13,OriginalDebtorAccountIsNotToBeUsed,Original Debtor Account is not to be used,,
OBExternalStatusReason1Code,CH14,OriginalDebtorAgentIsNotToBeUsed,Original Debtor Agent  is not to be used,,
OBExternalStatusReason1Code,CH15,ElementContentIncludesMoreThan140Characters,Content Remittance Information/Structured includes more than 140 characters,,
OBExternalStatusReason1Code,CH16,ElementContentFormallyIncorrect,Content is incorrect,,
OBExternalStatusReason1Code,CH17,ElementNotAdmitted,Element is not allowed,,
OBExternalStatusReason1Code,CH19,ValuesWillBeSetToNextTARGETday,Values in Interbank Settlement Date or Requested Collection Date will be set to the next TARGET day,,
OBExternalStatusReason1Code,CH20,DecimalPointsNotCompatibleWithCurrency,Number of decimal points not compatible with the currency,,
OBExternalStatusReason1Code,CH21,RequiredCompulsoryElementMissing,Mandatory element is missing ,,
OBExternalStatusReason1Code,CH22,COREandB2BwithinOnemessage,SDD CORE and B2B not permitted within one message ,,
OBExternalStatusReason1Code,CHQC,ChequeSettledOnCreditorAccount,Cheque has been presented in cheque clearing and settled on the creditor’s account.,,
OBExternalStatusReason1Code,CNOR,CreditorBankIsNotRegistered,Creditor bank is not registered under this BIC in the CSM,,
OBExternalStatusReason1Code,CURR,IncorrectCurrency,Currency of the payment is incorrect,,
OBExternalStatusReason1Code,CUST,RequestedByCustomer,Cancellation requested by the Debtor,,
OBExternalStatusReason1Code,DNOR,DebtorBankIsNotRegistered,Debtor bank is not registered under this BIC in the CSM,,
OBExternalStatusReason1Code,DS01,ElectronicSignaturesCorrect,The electronic signature(s) is/are correct,,
OBExternalStatusReason1Code,DS02,OrderCancelled,An authorized user has cancelled the order,,
OBExternalStatusReason1Code,DS03,OrderNotCancelled,The user’s attempt to cancel the order was not successful ,,
OBExternalStatusReason1Code,DS04,OrderRejected,The order was rejected by the bank side (for reasons concerning content),,
OBExternalStatusReason1Code,DS05,OrderForwardedForPostprocessing,The order was correct and could be forwarded for postprocessing,,
OBExternalStatusReason1Code,DS06,TransferOrder,The order was transferred to VEU,,
OBExternalStatusReason1Code,DS07,ProcessingOK,All actions concerning the order could be done by the EBICS bank server,,
OBExternalStatusReason1Code,DS08,DecompressionError,The decompression of the file was not successful,,
OBExternalStatusReason1Code,DS09,DecryptionError,The decryption of the file was not successful,,
OBExternalStatusReason1Code,DS0A,DataSignRequested,Data signature is required.,,
OBExternalStatusReason1Code,DS0B,UnknownDataSignFormat,Data signature for the format is not available or invalid.,,
OBExternalStatusReason1Code,DS0C,SignerCertificateRevoked,The signer certificate is revoked.,,
OBExternalStatusReason1Code,DS0D,SignerCertificateNotValid,The signer certificate is not valid (revoked or not active).,,
OBExternalStatusReason1Code,DS0E,IncorrectSignerCertificate,The signer certificate is not present.,,
OBExternalStatusReason1Code,DS0F,SignerCertificationAuthoritySignerNotValid,The authority of the signer certification sending the certificate is unknown.,,
OBExternalStatusReason1Code,DS0G,NotAllowedPayment,Signer is not allowed to sign this operation type.,,
OBExternalStatusReason1Code,DS0H,NotAllowedAccount,Signer is not allowed to sign for this account.,,
OBExternalStatusReason1Code,DS0K,NotAllowedNumberOfTransaction,The number of transaction is over the number allowed for this signer.,,
OBExternalStatusReason1Code,DS10,Signer1CertificateRevoked,The certificate is revoked for the first signer.,,
OBExternalStatusReason1Code,DS11,Signer1CertificateNotValid,The certificate is not valid (revoked or not active) for the first signer.,,
OBExternalStatusReason1Code,DS12,IncorrectSigner1Certificate,The certificate is not present for the first signer.,,
OBExternalStatusReason1Code,DS13,SignerCertificationAuthoritySigner1NotValid,The authority of signer certification sending the certificate is unknown for the first signer.,,
OBExternalStatusReason1Code,DS14,UserDoesNotExist,The user is unknown on the server,,
OBExternalStatusReason1Code,DS15,IdenticalSignatureFound,The same signature has already been sent to the bank,,
OBExternalStatusReason1Code,DS16,PublicKeyVersionIncorrect,The public key version is not correct. This code is returned when a customer sends signature files to the financial institution after conversion from an older program version (old ES format) to a new program version (new ES format) without having carried out re-initialisation with regard to a public key change.,,
OBExternalStatusReason1Code,DS17,DifferentOrderDataInSignatures,Order data and signatures don’t match,,
OBExternalStatusReason1Code,DS18,RepeatOrder,"File cannot be tested, the complete order has to be repeated. This code is returned in the event of a malfunction during the signature check, e.g. not enough storage space.",,
OBExternalStatusReason1Code,DS19,ElectronicSignatureRightsInsufficient,The user’s rights (concerning his signature) are insufficient to execute the order,,
OBExternalStatusReason1Code,DS20,Signer2CertificateRevoked,The certificate is revoked for the second signer.,,
OBExternalStatusReason1Code,DS21,Signer2CertificateNotValid,The certificate is not valid (revoked or not active) for the second signer.,,
OBExternalStatusReason1Code,DS22,IncorrectSigner2Certificate,The certificate is not present for the second signer.,,
OBExternalStatusReason1Code,DS23,SignerCertificationAuthoritySigner2NotValid,The authority of signer certification sending the certificate is unknown for the second signer.,,
OBExternalStatusReason1Code,DS24,WaitingTimeExpired,Waiting time expired due to incomplete order,,
OBExternalStatusReason1Code,DS25,OrderFileDeleted,"The order file was deleted by the bank server
(for multiple reasons)",,
OBExternalStatusReason1Code,DS26,UserSignedMultipleTimes,The same user has signed multiple times,,
OBExternalStatusReason1Code,DS27,UserNotYetActivated,The user is not yet activated (technically),,
OBExternalStatusReason1Code,DT01,InvalidDate,"Invalid date (eg, wrong or missing settlement date)",,
OBExternalStatusReason1Code,DT02,InvalidCreationDate,"Invalid creation date and time in Group Header (eg, historic date)",,
OBExternalStatusReason1Code,DT03,InvalidNonProcessingDate,"Invalid non bank processing date (eg, weekend or local public holiday)",,
OBExternalStatusReason1Code,DT04,FutureDateNotSupported,Future date not supported,,
OBExternalStatusReason1Code,DT05,InvalidCutOffDate,"Associated message, payment information block or transaction was received after agreed processing cut-off date, i.e., date in the past.",,
OBExternalStatusReason1Code,DT06,ExecutionDateChanged,Execution Date has been modified in order for transaction to be processed,,
OBExternalStatusReason1Code,DU01,DuplicateMessageID,Message Identification is not unique.,,
OBExternalStatusReason1Code,DU02,DuplicatePaymentInformationID,Payment Information Block is not unique.,,
OBExternalStatusReason1Code,DU03,DuplicateTransaction,Transaction is not unique.,,
OBExternalStatusReason1Code,DU04,DuplicateEndToEndID,End To End ID is not unique.,,
OBExternalStatusReason1Code,DU05,DuplicateInstructionID,Instruction ID is not unique.,,
OBExternalStatusReason1Code,DUPL,DuplicatePayment,Payment is a duplicate of another payment,,
OBExternalStatusReason1Code,ED01,CorrespondentBankNotPossible,Correspondent bank not possible.,,
OBExternalStatusReason1Code,ED03,BalanceInfoRequest,Balance of payments complementary info is requested,,
OBExternalStatusReason1Code,ED05,SettlementFailed,Settlement of the transaction has failed.,,
OBExternalStatusReason1Code,ED06,SettlementSystemNotAvailable,Interbank settlement system not available.,,
OBExternalStatusReason1Code,ERIN,ERIOptionNotSupported,Extended Remittance Information (ERI) option is not supported.,,
OBExternalStatusReason1Code,FF01,InvalidFileFormat,File Format incomplete or invalid,,
OBExternalStatusReason1Code,FF02,SyntaxError,Syntax error reason is provided as narrative information in the additional reason information.,,
OBExternalStatusReason1Code,FF03,InvalidPaymentTypeInformation,"Payment Type Information is missing or invalid.
Generic usage if cannot specify Service Level or Local Instrument code",,
OBExternalStatusReason1Code,FF04,InvalidServiceLevelCode,Service Level code is missing or invalid,,
OBExternalStatusReason1Code,FF05,InvalidLocalInstrumentCode,Local Instrument code is missing or invalid,,
OBExternalStatusReason1Code,FF06,InvalidCategoryPurposeCode,Category Purpose code is missing or invalid,,
OBExternalStatusReason1Code,FF07,InvalidPurpose,Purpose is missing or invalid,,
OBExternalStatusReason1Code,FF08,InvalidEndToEndId,End to End Id missing or invalid,,
OBExternalStatusReason1Code,FF09,InvalidChequeNumber,Cheque number missing or invalid,,
OBExternalStatusReason1Code,FF10,BankSystemProcessingError,File or transaction cannot be processed due to technical issues at the bank side,,
OBExternalStatusReason1Code,FF11,ClearingRequestAborted,Clearing request rejected due it being subject to an abort operation.,,
OBExternalStatusReason1Code,G000,PaymentTransferredAndTracked,"In an FI To FI Customer Credit Transfer: The Status Originator transferred the payment to the next Agent or to a Market Infrastructure. The payment transfer is tracked. No further updates will follow from the Status Originator.

In a Financial Institution Credit Transfer with cover: The Status Originator performed the account booking and transferred the cover transaction to the next Reimbursement Agent or to a Market Infrastructure. The payment transfer is tracked. No further updates will follow from the Status Originator.
",,
OBExternalStatusReason1Code,G001,PaymentTransferredAndNotTracked,"In an FI To FI Customer Credit Transfer: The Status Originator transferred the payment to the next Agent or to a Market Infrastructure. The payment transfer is not tracked. No further updates will follow from the Status Originator.

In a Financial Institution Credit Transfer with cover: The Status Originator performed the account booking and transferred the cover transaction to the next Reimbursement Agent or to a Market Infrastructure. The payment transfer is not tracked. No further updates will follow from the Status Originator.
",,
OBExternalStatusReason1Code,G002,CreditDebitNotConfirmed,"In a FIToFI Customer Credit Transfer: Credit to the creditor’s account may not be confirmed same day. Update will follow from the Status Originator.
In a Financial Institution Credit Transfer with cover: Debit/credit to nostro account may not be confirmed same day or Financial Institution Credit Transfer may not be transferred same day. Update will follow from the Status Originator.",,
OBExternalStatusReason1Code,G003,CreditPendingDocuments,"In a FIToFI Customer Credit Transfer: Credit to creditor’s account is pending receipt of required documents. The Status Originator has requested creditor to provide additional documentation. Update will follow from the Status Originator.
In a Financial Institution Credit Transfer with cover: Status Originator has requested a previous Agent to provide additional information/correct information. Update will follow from the Status Originator.",,
OBExternalStatusReason1Code,G004,CreditPendingFunds,"In a FIToFI Customer Credit Transfer: Credit to the creditor’s account is pending, status Originator is waiting for funds provided via a cover. Update will follow from the Status Originator.",,
OBExternalStatusReason1Code,G005,DeliveredWithServiceLevel,Payment has been delivered to creditor agent with service level.,,
OBExternalStatusReason1Code,G006,DeliveredWIthoutServiceLevel,Payment has been delivered to creditor agent without service level.,,
OBExternalStatusReason1Code,ID01,CorrespondingOriginalFileStillNotSent,Signature file was sent to the bank but the corresponding original file has not been sent yet.,,
OBExternalStatusReason1Code,MD01,NoMandate,No Mandate,,
OBExternalStatusReason1Code,MD02,MissingMandatoryInformationInMandate,Mandate related information data required by the scheme is missing.,,
OBExternalStatusReason1Code,MD05,CollectionNotDue,Creditor or creditor's agent should not have collected the direct debit,,
OBExternalStatusReason1Code,MD06,RefundRequestByEndCustomer,Return of funds requested by end customer,,
OBExternalStatusReason1Code,MD07,EndCustomerDeceased,End customer is deceased.,,
OBExternalStatusReason1Code,MS02,NotSpecifiedReasonCustomerGenerated,Reason has not been specified by end customer,,
OBExternalStatusReason1Code,MS03,NotSpecifiedReasonAgentGenerated,Reason has not been specified by agent.,,
OBExternalStatusReason1Code,NARR,Narrative,Reason is provided as narrative information in the additional reason information.,,
OBExternalStatusReason1Code,NERI,NoERI,Credit transfer is tagged as an Extended Remittance Information (ERI) transaction but does not contain ERI.,,
OBExternalStatusReason1Code,RC01,BankIdentifierIncorrect,Bank identifier code specified in the message has an incorrect format (formerly IncorrectFormatForRoutingCode).,,
OBExternalStatusReason1Code,RC02,InvalidBankIdentifier,"Bank identifier is invalid or missing.
Generic usage if cannot specify between debit or credit account",,
OBExternalStatusReason1Code,RC03,InvalidDebtorBankIdentifier,Debtor bank identifier is invalid or missing,,
OBExternalStatusReason1Code,RC04,InvalidCreditorBankIdentifier,Creditor bank identifier is invalid or missing,,
OBExternalStatusReason1Code,RC05,InvalidBICIdentifier,"BIC identifier is invalid or missing.
Generic usage if cannot specify between debit or credit account.",,
OBExternalStatusReason1Code,RC06,InvalidDebtorBICIdentifier,Debtor BIC identifier is invalid or missing,,
OBExternalStatusReason1Code,RC07,InvalidCreditorBICIdentifier,Creditor BIC identifier is invalid or missing,,
OBExternalStatusReason1Code,RC08,InvalidClearingSystemMemberIdentifier,"ClearingSystemMemberidentifier is invalid or missing.
Generic usage if cannot specify between debit or credit account",,
OBExternalStatusReason1Code,RC09,InvalidDebtorClearingSystemMemberIdentifier,Debtor ClearingSystemMember identifier is invalid or missing,,
OBExternalStatusReason1Code,RC10,InvalidCreditorClearingSystemMemberIdentifier,Creditor ClearingSystemMember identifier is invalid or missing,,
OBExternalStatusReason1Code,RC11,InvalidIntermediaryAgent,Intermediary Agent is invalid or missing,,
OBExternalStatusReason1Code,RC12,MissingCreditorSchemeId,Creditor Scheme Id is invalid or  missing,,
OBExternalStatusReason1Code,RCON,RMessageConflict,Conflict with R-Message,,
OBExternalStatusReason1Code,RECI,ReceiverCustomerInformation,Further information regarding the intended recipient. ,,
OBExternalStatusReason1Code,RF01,NotUniqueTransactionReference,Transaction reference is not unique within the message.,,
OBExternalStatusReason1Code,RR01,MissingDebtorAccountOrIdentification,Specification of the debtor’s account or unique identification needed for reasons of regulatory requirements is insufficient or missing,,
OBExternalStatusReason1Code,RR02,MissingDebtorNameOrAddress,Specification of the debtor’s name and/or address needed for regulatory requirements is insufficient or missing.,,
OBExternalStatusReason1Code,RR03,MissingCreditorNameOrAddress,Specification of the creditor’s name and/or address needed for regulatory requirements is insufficient or missing.,,
OBExternalStatusReason1Code,RR04,RegulatoryReason,Regulatory Reason,,
OBExternalStatusReason1Code,RR05,RegulatoryInformationInvalid,"Regulatory or Central Bank Reporting information missing, incomplete or invalid.",,
OBExternalStatusReason1Code,RR06,TaxInformationInvalid,"Tax information missing, incomplete or invalid.",,
OBExternalStatusReason1Code,RR07,RemittanceInformationInvalid,Remittance information structure does not comply with rules for payment type.,,
OBExternalStatusReason1Code,RR08,RemittanceInformationTruncated,Remittance information truncated to comply with rules for payment type.,,
OBExternalStatusReason1Code,RR09,InvalidStructuredCreditorReference,Structured creditor reference invalid or missing.,,
OBExternalStatusReason1Code,RR10,InvalidCharacterSet,Character set supplied not valid for the country and payment type.,,
OBExternalStatusReason1Code,RR11,InvalidDebtorAgentServiceID,Invalid or missing identification of a bank proprietary service.,,
OBExternalStatusReason1Code,RR12,InvalidPartyID,Invalid or missing identification required within a particular country or payment type.,,
OBExternalStatusReason1Code,S000,ValidRequestForCancellationAcknowledged,Request for Cancellation is acknowledged following validation.,,
OBExternalStatusReason1Code,S001,UETRFlaggedForCancellation,Unique End-to-end Transaction Reference (UETR) relating to a payment has been identified as being associated with a Request for Cancellation.,,
OBExternalStatusReason1Code,S002,NetworkStopOfUETR,Unique End-to-end Transaction Reference (UETR) relating to a payment has been prevent from traveling across a messaging network.,,
OBExternalStatusReason1Code,S003,RequestForCancellationForwarded,Request for Cancellation has been forwarded to the payment processing/last payment processing agent.,,
OBExternalStatusReason1Code,S004,RequestForCancellationDeliveryAcknowledgement,Request for Cancellation has been acknowledged as delivered to payment processing/last payment processing agent.,,
OBExternalStatusReason1Code,SL01,SpecificServiceOfferedByDebtorAgent,Due to specific service offered by the Debtor Agent.,,
OBExternalStatusReason1Code,SL02,SpecificServiceOfferedByCreditorAgent,Due to specific service offered by the Creditor Agent.,,
OBExternalStatusReason1Code,SL03,ServiceofClearingSystem,Due to a specific service offered by the clearing system.,,
OBExternalStatusReason1Code,SL11,CreditorNotOnWhitelistOfDebtor,Whitelisting service offered by the Debtor Agent; Debtor has not included the Creditor on its “Whitelist” (yet). In the Whitelist the Debtor may list all allowed Creditors to debit Debtor bank account.,,
OBExternalStatusReason1Code,SL12,CreditorOnBlacklistOfDebtor,Blacklisting service offered by the Debtor Agent; Debtor included the Creditor on his “Blacklist”. In the Blacklist the Debtor may list all Creditors not allowed to debit Debtor bank account.,,
OBExternalStatusReason1Code,SL13,MaximumNumberOfDirectDebitTransactionsExceeded,Due to Maximum allowed Direct Debit Transactions per period service offered by the Debtor Agent.,,
OBExternalStatusReason1Code,SL14,MaximumDirectDebitTransactionAmountExceeded,Due to Maximum allowed Direct Debit Transaction amount service offered by the Debtor Agent.,,
OBExternalStatusReason1Code,TA01,TransmissonAborted,The transmission of the file was not successful – it had to be aborted (for technical reasons),,
OBExternalStatusReason1Code,TD01,NoDataAvailable,There is no data available (for download),,
OBExternalStatusReason1Code,TD02,FileNonReadable,The file cannot be read (e.g. unknown format),,
OBExternalStatusReason1Code,TD03,IncorrectFileStructure,The file format is incomplete or invalid,,
OBExternalStatusReason1Code,TK01,TokenInvalid,Token is invalid.,,
OBExternalStatusReason1Code,TK02,SenderTokenNotFound,Token used for the sender does not exist.,,
OBExternalStatusReason1Code,TK03,ReceiverTokenNotFound,Token used for the receiver does not exist.,,
OBExternalStatusReason1Code,TK09,TokenMissing,Token required for request is missing.,,
OBExternalStatusReason1Code,TKCM,TokenCounterpartyMismatch,Token found with counterparty mismatch. ,,
OBExternalStatusReason1Code,TKSG,TokenSingleUse,Single Use Token already used. ,,
OBExternalStatusReason1Code,TKSP,TokenSuspended,Token found with suspended status.,,
OBExternalStatusReason1Code,TKVE,TokenValueLimitExceeded,Token found with value limit rule violation. ,,
OBExternalStatusReason1Code,TKXP,TokenExpired,Token expired.,,
OBExternalStatusReason1Code,TM01,InvalidCutOffTime,"Associated message, payment information block, or transaction was received after agreed processing cut-off time.",,
OBExternalStatusReason1Code,TS01,TransmissionSuccessful,The (technical) transmission of the file was successful.,,
OBExternalStatusReason1Code,TS04,TransferToSignByHand,The order was transferred to pass by accompanying note signed by hand,,
OBExternalStatusReason1Code,CN01,AuthorisationCancelled,Authorisation is cancelled.,,
OBExternalStatusReason1Code,FOCR,FollowingCancellationRequest,Return following a cancellation request.,,
OBExternalStatusReason1Code,FR01,Fraud,Returned as a result of fraud.,,
OBExternalStatusReason1Code,NOCM,NotCompliantGeneric,"Customer account is not compliant with regulatory requirements, for example FICA (in South Africa) or any other regulatory requirements which render an account inactive for certain processing.",,
OBExternalStatusReason1Code,NOAS,NoAnswerFromCustomer,No response from Beneficiary.,,
OBExternalStatusReason1Code,RUTA,ReturnUponUnableToApply,Return following investigation request and no remediation possible.,,
OBExternalStatusReason1Code,UPAY,UnduePayment,Payment is not justified.,,
OBExternalStatusReason1Code,ALAC,AlreadyAcceptedRTP,Request-to-pay has already been accepted by the Debtor.,,
OBExternalStatusReason1Code,AEXR,AlreadyExpiredRTP,Request-to-pay Expiry Date and Time has already passed.,,
OBExternalStatusReason1Code,ARFR,AlreadyRefusedRTP,Request-to-pay has already been refused by the Debtor.,,
OBExternalStatusReason1Code,ARJR,AlreadyRejectedRTP,Request-to-pay has already been rejected.,,
OBExternalStatusReason1Code,ATNS,AttachementsNotSupported,Attachments to the request-to-pay are not supported.,,
OBExternalStatusReason1Code,EDTR,ExpiryDateTimeReached,Expiry date time of the request-to-pay is already reached.,,
OBExternalStatusReason1Code,EDTL,ExpiryDateTooLong,Expiry date time of the request-to-pay is too far in the future.,,
OBExternalStatusReason1Code,FRAD,FraudulentOrigin,Cancellation requested following a transaction that was originated fraudulently. The use of the FraudulentOrigin code should be governed by jurisdictions.,,
OBExternalStatusReason1Code,IEDT,IncorrectExpiryDateTime,Expiry date time of the request-to-pay is incorrect.,,
OBExternalStatusReason1Code,IRNR,InitialRTPNeverReceived,No initial request-to-pay has been received.,,
OBExternalStatusReason1Code,NOAR,NonAgreedRTP,No existing agreement for receiving request-to-pay messages.,,
OBExternalStatusReason1Code,NOPG,NoPaymentGuarantee,Requested payment guarantee (by Creditor) related to a request-to-pay cannot be provided.,,
OBExternalStatusReason1Code,NRCH,PayerOrPayerRTPSPNotReachable,Recipient side of the request-to-pay (payer or its request-to-pay service provider) is not reachable.,,
OBExternalStatusReason1Code,RTNS,RTPNotSupportedForDebtor,Debtor does not support request-to-pay transactions.,,
OBExternalStatusReason1Code,REPR,RTPReceivedCanBeProcessed,Request-to-pay has been received and can be processed further.,,
OBExternalStatusReason1Code,SPII,RTPServiceProviderIdentifierIncorrect,Identifier of the request-to-pay service provider is incorrect.,,
OBExternalStatusReason1Code,PINS,TypeOfPaymentInstrumentNotSupported,Type of payment requested in the request-to-pay is not supported by the payer.,,
OBExternalStatusReason1Code,UCRD,UnknownCreditor,Unknown Creditor.,,
OBExternalStatusReason1Code,FF12,OriginalTransactionNotEligibleForRequestedReturn,Original payment is not eligible to be returned given its current status.,,
OBExternalStatusReason1Code,FF13,RequestForCancellationNotFound,No record of request for cancellation found.,,
OBExternalStatusReason1Code,DC02,SettlementNotReceived,Rejection of a payment due to covering FI settlement not being received.,,
OBExternalStatusReason1Code,APAR,AlreadyPaidRTP,Request To Pay has already been paid by the Debtor.,,
OBInternalAccountIdentification4Code,UK.OBIE.BBAN,UK.OBIE.BBAN,"Basic Bank Account Number (BBAN) - identifier used nationally by financial institutions, ie, in individual countries, generally as part of a National Account Numbering Scheme(s), to uniquely identify the account of a customer.",,
OBInternalAccountIdentification4Code,UK.OBIE.IBAN,UK.OBIE.IBAN,"An identifier used internationally by financial institutions to uniquely identify the account of a customer at a financial institution, as described in the latest edition of the international standard ISO 13616. ""Banking and related financial services - International Bank Account Number (IBAN)"".",,
OBInternalAccountIdentification4Code,UK.OBIE.PAN,UK.OBIE.PAN,Primary Account Number - identifier scheme used to identify a card account.,,
OBInternalAccountIdentification4Code,UK.OBIE.Paym,UK.OBIE.Paym,Paym Scheme to make payments via mobile,,
OBInternalAccountIdentification4Code,UK.OBIE.SortCodeAccountNumber,UK.OBIE.SortCodeAccountNumber,"Sort Code and Account Number - identifier scheme used in the UK by financial institutions to identify the account of a customer. The identifier is the concatenation of the 6 digit UK sort code and 8 digit account number.
The regular expression for this identifier is: ^[0-9]{6}[0-9]{8}$",,
OBInternalAccountIdentification4Code,UK.OBIE.Wallet,UK.OBIE.Wallet,"A primary and unique account identifier used to identify a wallet.
An ASPSP must document on their developer portal, the payment methods that supports this account identifier.",,
OBInternalFinancialInstitutionIdentification4Code,UK.OBIE.BICFI,UK.OBIE.BICFI,"Valid BICs for financial institutions are registered by the ISO 9362 Registration Authority in the BIC directory, and consist of eight (8) or eleven (11) contiguous characters.",,
OBInternalFinancialInstitutionIdentification4Code,UK.OBIE.NCC.[ISO3166-aplha2-CountryCode],UK.OBIE.NCC.[ISO3166-aplha2-CountryCode],"Valid NCC (National Clearing Code) as an option for the accounts that don't have an IBAN, registered in the country identified by the 2 letter ISO-3166 Country code. For example, transfer to India may have Scheme Name as UK.OBIE.NCC.IN and Identification can be the IFSC code of the bank/branch in India.",,
OBInternalStatementAmountType1Code,UK.OBIE.ArrearsClosingBalance,UK.OBIE.ArrearsClosingBalance,The balance that is in arrears at the end of the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.AvailableBalance,UK.OBIE.AvailableBalance,The available balance is the difference between the credit limit and the account balance – how much is available to spend.,,
OBInternalStatementAmountType1Code,UK.OBIE.AverageBalanceWhenInCredit,UK.OBIE.AverageBalanceWhenInCredit,The average daily balance when the account is in credit during the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.AverageBalanceWhenInDebit,UK.OBIE.AverageBalanceWhenInDebit,The average daily balance when the account is in debit during the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.AverageDailyBalance,UK.OBIE.AverageDailyBalance,The average daily balance during the statement period. An average daily balance adds the closing balances at the end of each day in a given period of time and divides the sum by the number of calendar days in that period.,,
OBInternalStatementAmountType1Code,UK.OBIE.BalanceTransferClosingBalance,UK.OBIE.BalanceTransferClosingBalance,The component of balance that relates to balance transfers at the end of the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.CashClosingBalance,UK.OBIE.CashClosingBalance,The component of balance that relates to cash at the end of the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.ClosingBalance,UK.OBIE.ClosingBalance,The ending balance or closing balance at the end of the current statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.CreditLimit,UK.OBIE.CreditLimit,"The credit limit is the total amount of credit available to a borrower, including any amount already borrowed.",,
OBInternalStatementAmountType1Code,UK.OBIE.CurrentPayment,UK.OBIE.CurrentPayment,The total payments received since the last period.,,
OBInternalStatementAmountType1Code,UK.OBIE.DirectDebitPaymentDue,UK.OBIE.DirectDebitPaymentDue,The total direct debit payments due for current statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.FSCSInsurance,UK.OBIE.FSCSInsurance,The amount under which the FSCS scheme will protect consumers when authorised financial services firms fail.,,
OBInternalStatementAmountType1Code,UK.OBIE.MinimumPaymentDue,UK.OBIE.MinimumPaymentDue,The minimum payment required for the current statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.PendingTransactionsBalance,UK.OBIE.PendingTransactionsBalance,The total pending transactions balance at the end of the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.PreviousClosingBalance,UK.OBIE.PreviousClosingBalance,The closing balance of the previous statement.,,
OBInternalStatementAmountType1Code,UK.OBIE.PreviousPayment,UK.OBIE.PreviousPayment,The previous payment amount in the last statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.PurchaseClosingBalance,UK.OBIE.PurchaseClosingBalance,The component of balance that relates to purchases at the end of the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.StartingBalance,UK.OBIE.StartingBalance,The new balance or starting balance carried forward since last statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.TotalAdjustments,UK.OBIE.TotalAdjustments,Total adjustments to the account during the statement period.,,
OBInternalStatementAmountType1Code,UK.OBIE.TotalCashAdvances,UK.OBIE.TotalCashAdvances,A cash advance is a short-term loan from a bank or alternative lender. The term also refers to a service provided by many credit card issuers allowing cardholders to withdraw a certain amount of cash.,,
OBInternalStatementAmountType1Code,UK.OBIE.TotalCharges,UK.OBIE.TotalCharges,"The total charges including interest, late payment fee during the statement period.",,
OBInternalStatementAmountType1Code,UK.OBIE.TotalCredits,UK.OBIE.TotalCredits,Total amount credited in the account during the statement period.,,
